,index,Item_Desc,Rate
0,0,1 AXE TWIST                   ,70.0
1,1,1+1 BTL4 SEASON WHITE         ,900.0
2,2,1+1 GLS 4SEASON RED           ,175.0
3,3,1+1 GLS 4SEASONS WHITE        ,200.0
4,4,1+1 KF 1 LITER                ,225.0
5,5,1+1 KF 1/2 LITER              ,125.0
6,6,1+1 KF 2 LITER                ,400.0
7,7,1+1 VLN CAB SAUV (BTL)        ,800.0
8,8,1+1 VLN CAB SAUV (GLS)        ,175.0
9,9,1+1 VLN CAB SAUV CLASIQ (BTL) ,800.0
10,10,1+1 VLN CAB SAUV CLASIQ (GLS) ,175.0
11,11,1+1 VLN CHENIN BLANC (GLS)    ,175.0
12,12,1+1 VLN SAUV BLANC (BTL)      ,800.0
13,13,1+1 VLN SAUV BLANC (GLS)      ,175.0
14,14,1+1 WINE BOTTLE               ,851.0
15,15,1+1 WINE GLASS                ,186.1225
16,16,2 AXE TWIST                   ,140.0
17,17,2 DOM BEER + 1PREM SHEESHA    ,650.0
18,18,2 DOM BEER + 1SPL SHEESHA     ,500.0
19,19,2 MUFFINS + BEVERAGE          ,99.0
20,20,2 OCEAN PINOTAGE (BTL)        ,1900.0
21,21,2 RED BULL                    ,150.0
22,22,3 RED BULL                    ,300.0
23,23,3COURSE NON-VEG MEAL          ,300.0
24,24,3COURSE VEG MEAL              ,250.0
25,25,4 DOM BEER + 1SPL SHEESHA     ,750.0
26,26,4 SEASONS CLAS SAUV(BTL)      ,900.0
27,27,4 SEASONS CLAS SAUV(GLS       ,200.0
28,28,4 SEASONS CLAS SYRAH(BTL)     ,800.0
29,29,4 SEASONS CLAS SYRAH(GLS)     ,175.0
30,30,5 RED BULL                    ,450.0
31,31,ADD BUTTERED TOAST            ,15.0
32,32,ADD CARAMEL FLAVOUR           ,25.0
33,33,ADD CHICKEN                   ,30.0
34,34,ADD CHICKEN BACON             ,30.0
35,35,ADD CHICKEN SAUSAGE           ,60.0
36,36,ADD CINNAMON FLAVOUR          ,25.0
37,37,ADD COTTAGE CHEESE            ,25.0
38,38,ADD FRIES                     ,34.99336870026525
39,39,ADD GROUND MEAT               ,30.0
40,40,ADD HAZELNUT FLAVOUR          ,25.0
41,41,ADD HERB ROAST CHICKEN        ,30.127388535031848
42,42,ADD ICE CREAM                 ,40.53191489361702
43,43,ADD IRISH CREAM FLAVOUR       ,25.0
44,44,ADD ON S                      ,15.349162011173185
45,45,ADD POTATO WEDGES             ,35.73529411764706
46,46,ADD SMOKED CHICKEN            ,60.0
47,47,ADD TRADITIONAL MEAT FEAST    ,45.0
48,48,ADD VANILLA FLAVOUR           ,25.0
49,49,ADD WHIPPED CREAM             ,29.057971014492754
50,50,AFRICAN OMELETTE BREAKFAST    ,175.0
51,51,AIOLI SALAD BOWL              ,91.58536585365853
52,52,AL SIKANDARI HOOKAH DOUBLE    ,345.0
53,53,AL SIKANDARI HOOKAH SINGLE    ,328.2270168855535
54,54,ALIO AGLIO                    ,150.0
55,55,ANDALUSIAN SAUSAGES           ,290.0
56,56,ANDAMAN STRIPE                ,262.0
57,57,APPLE CARROT N GINGER JUICE   ,95.0
58,58,APPLE CINNAMON MUFFIN         ,55.0
59,59,APPLE FLAVOUR DOUBLE          ,280.0
60,60,APPLE FLAVOUR SINGLE          ,232.08955223880596
61,61,APPLE N CINNAMON CREPES       ,130.0
62,62,APPLE PEAR N LIME             ,95.0
63,63,APPLE PIE SHAKE               ,135.0
64,64,APRICOT FLAVOUR SINGLE        ,225.0
65,65,ARABIAN MIST                  ,350.0
66,66,ASH TRAYS                     ,150.0
67,67,ASIAN WOK TOSSED SALAD        ,85.51282051282051
68,68,ASSORTED TAPAS (2)NONVEG      ,330.0
69,69,ASSORTED TAPAS(2 )VEG         ,275.0
70,70,AU LAIT SET                   ,282.0
71,71,AVALANCHE BOWL                ,495.0
72,72,B-BEANS G-TOMATO & WEDGES     ,65.0
73,73,B.M.T. PANINI                 ,105.0
74,74,B1G1 4SEASON CLAS SAUV(BTL)   ,900.0
75,75,B1G1 4SEASON CLAS SAUV(GLS)   ,200.0
76,76,B1G1 4SEASON CLAS SYRAH(GLS)  ,175.0
77,77,B1G1 ZINZI RED (BTL)          ,700.0
78,78,B1G1 ZINZI RED (GLS)          ,150.0
79,79,B1G1 ZINZI WHITE (BTL)        ,700.0
80,80,B1G1 ZINZI WHITE (GLS)        ,150.0
81,81,BAHUT BERRY                   ,120.0
82,82,BAILEYS IRISH SHAKE           ,184.4788732394366
83,83,BANANA WALNUT MUFFIN          ,55.0
84,84,BANGERS N MASH                ,135.0
85,85,BBQ CHICKEN WINGS             ,152.734375
86,86,BEACH GREEN                   ,262.0
87,87,BEAN N NACHO CHILLI           ,149.75225225225225
88,88,BEANS NACHO CHILLI W MEAT     ,175.0
89,89,BEER HOOKAH                   ,500.0
90,90,BEER TANK 3.5 LITRE           ,600.0
91,91,BENARAS BLUE                  ,351.0
92,92,BENARAS GREEN                 ,351.0
93,93,BENARAS LIME                  ,351.0
94,94,BENSON & HEDGES LIGHTS        ,85.75
95,95,BENSON & HEDGES SPL           ,84.88888888888889
96,96,BENSON & HEGDES GOLD BLUE     ,91.5
97,97,BERRY BLAST                   ,94.14574101427868
98,98,BERRY BULL                    ,150.0
99,99,BHOJPURI SHOT GLASSES         ,186.0
100,100,BLACK CURRANT ICED TEA        ,85.0
101,101,BLACK FOREST CREPES           ,145.0
102,102,BLACK FOREST SHAKE            ,135.0
103,103,BLACKENED BALTI CHICKEN CRUSTI,130.0
104,104,BLUE BERRY MUFFINS            ,75.0
105,105,BLUE BERRY SINGLE             ,256.6015625
106,106,BLUE LAGOON SHEESHA           ,450.0
107,107,BLUEBERRY BRAIN FREEZER SHAKE ,110.04638218923934
108,108,BODHI CUSHIONS                ,489.0
109,109,BODHI PLANTER CUM CANDLE STAND,649.0
110,110,BOTTLED WATER (1LITRE)        ,42.5
111,111,BRAZIL BOURBONSANTOS (AULAIT) ,115.0
112,112,BRAZIL BOURBONSANTOS (REG)    ,95.0
113,113,BROOKLYN                      ,300.0
114,114,BROOKLYN BUCKET - 4           ,800.0
115,115,BUDWEISER                     ,108.25
116,116,BUN MASKA & CHAI              ,62.89179104477612
117,117,BUNUELOS DE CHIRIZO           ,190.0
118,118,BUTTER MILK PAN CAKES         ,75.0
119,119,BUTTERED TOASTS               ,20.0
120,120,C C C ROMA TOMATO SALAD       ,81.56862745098039
121,121,CAESARS SALAD WRAP            ,140.7377049180328
122,122,CAFE MIT SCHLAG               ,110.0
123,123,CAFE ZABAGLIONE               ,125.0
124,124,CAFFE LATTE                   ,72.00858778625954
125,125,CAJUN CHICKEN CRUSTINI        ,145.0
126,126,CALAMARI FRITO                ,150.0
127,127,CALCUTTA MINT                 ,372.104626549743
128,128,CAPONATA                      ,150.0
129,129,CAPPUCCINO                    ,62.24059188892949
130,130,CAPPUCCINO GRANDE             ,90.0
131,131,CARLSBERG                     ,121.48892773892774
132,132,CARLSBERG 2+1                 ,300.0
133,133,CARROT CAKE                   ,130.0
134,134,CASABLANKA  HOOKAH SINGLE     ,347.84313725490193
135,135,CEASAR SALAD BOWL             ,91.82692307692308
136,136,CELERY N ORANGE               ,95.0
137,137,CEREAL KILLER                 ,150.0
138,138,CH BOOKMARKS SET OF 4         ,38.0
139,139,CH COASTER SET OF 4           ,214.0
140,140,CH COFFEE MUGS                ,200.0
141,141,CH CRICKET NOTEBOOK           ,143.0
142,142,CH KEY CHAIN                  ,99.0
143,143,CH NOTE BOOKS                 ,64.57142857142857
144,144,CH TIN RECTANGULAR            ,171.0
145,145,CH TIN SMALL                  ,171.0
146,146,CH TINS                       ,214.0
147,147,CH TSHIRTS                    ,405.0
148,148,CH WRAPPING PAPER             ,40.0
149,149,CHAI LATTE                    ,75.0
150,150,CHAIRMAN COOL                 ,262.0
151,151,CHAMOMILE TEA                 ,55.0
152,152,CHAMPINONES CON AJO Y OLIVA   ,140.0
153,153,CHEDDAR CHEESE                ,20.0
154,154,CHEESE CAKE OF THE WEEK       ,113.73390557939913
155,155,CHEESE FINGERS                ,250.0
156,156,CHEESE FONDUE                 ,330.0
157,157,CHERRY FLAVOUR SINGLE         ,235.546875
158,158,CHICKEN BURGER                ,200.48543689320388
159,159,CHICKEN DRUMMETS              ,150.0
160,160,CHICKEN HAM                   ,35.0
161,161,CHICKEN KIBBEH                ,168.42105263157896
162,162,CHICKEN SALAMI                ,30.0
163,163,CHICKEN SALAMI PANINI         ,115.03091190108192
164,164,CHICKEN SAUSAGE               ,30.0
165,165,CHICKEN SLOUVLAKI WRAP        ,160.0
166,166,CHOCOLATE FONDUE              ,325.0
167,167,CHOCOLATE ICECREAM            ,30.0
168,168,CHOCOLATE REVOLUTION          ,99.0
169,169,CHUNKY CHOCO CHIP COOKIES     ,52.69230769230769
170,170,CINNA BUNS W CREAM CHESSE FROS,75.0
171,171,CINNAMON APPLE TEA            ,65.0
172,172,CLASSIC BELGIAN  WAFFLE       ,81.67820069204153
173,173,CLASSIC MENTHOL               ,75.5
174,174,CLASSIC MENTHOL RUSH          ,83.3
175,175,CLASSIC MILD                  ,79.5625
176,176,CLASSIC REGULAR               ,78.0
177,177,CLASSIC ULTRA MILD            ,80.5
178,178,COLUMBIAN SUP DCAFE (AU LAIT) ,123.75
179,179,COLUMBIAN SUP DCAFE (RGLR)    ,105.66666666666667
180,180,COLUMBIAN SUPREMO  (REG)      ,108.02857142857142
181,181,COLUMBIAN SUPREMO (AULAIT)    ,128.76623376623377
182,182,CON PANNA                     ,60.0
183,183,COOKIE CRUMBLE                ,110.0
184,184,COOKIE MONSTER                ,135.0
185,185,COOL CALIFORNICA              ,85.0
186,186,COOLER GLASS(PILSNER)         ,70.0
187,187,COSTARICA TARAZU (AULAIT)     ,115.0
188,188,COSTARICA TARRAZU (REG)       ,95.0
189,189,COTTAGE CHEESE                ,30.0
190,190,COTTAGE CHEESE PANINI         ,105.06188118811882
191,191,COUNTRY LEMONADE              ,85.06629834254143
192,192,COUNTRY LEMONADE GLASS(HANSA) ,150.0
193,193,COUNTRY ROAST CHICKEN PANINI  ,115.10590015128594
194,194,COUS COUS WRAP                ,140.0
195,195,CRANBERY SMOOTHIES            ,120.0
196,196,CREME BRULEE                  ,125.0
197,197,CREPES MONTE CRISTO           ,165.0
198,198,CREPES WITH MUSHROOMS         ,155.13888888888889
199,199,CREPES WITH POTATO LAKTES     ,155.0
200,200,CRUMBED TOFU CRUSTINI         ,115.0
201,201,CURRANT COOLER                ,95.0
202,202,CURRIED WASHINGTON APPLE SOUP ,75.0
203,203,CUTTING GLASS                 ,12.0
204,204,DAAKU SHOT GLASSES S-O 2      ,178.0
205,205,DAARU BEER GLASS              ,222.0
206,206,DAILY BEER GLASSES            ,226.467
207,207,DAIRY OF A DAIRY              ,267.8325
208,208,DARK RUM (SM)                 ,200.0
209,209,DECAFFINATE COFFEE FRAPPE     ,75.0
210,210,DHARMATEA LIGHT HOLDER        ,249.0
211,211,DIA SPARKLING WINE(BTL)       ,500.0
212,212,DIA SPARKLING WINE(GLS)       ,125.0
213,213,DIP BOWL                      ,60.0
214,214,DOPPIO                        ,60.0
215,215,DUTCH TRUFFLE CAKE SHAKE      ,135.0
216,216,EARL GREY                     ,55.0
217,217,ENG BREAKFAST TEA             ,55.0
218,218,ESPRESSO                      ,42.04633204633205
219,219,ESPRESSO TRIOS                ,110.0
220,220,ETCHED LEAF TLIGHT HOLDER     ,249.0
221,221,ETHIOPIAN YIRGACHEFFE (REG)   ,125.0
222,222,ETHOPIAN YIRGACHEFFE (AULAIT) ,145.0
223,223,FISH FINGER                   ,300.0
224,224,FLAVOR  50 GMS                ,110.0
225,225,FLAVOR 1000 GMS               ,1470.0
226,226,FLAVOR 250 GMS                ,475.0
227,227,FLAVORS (100 GMS)             ,210.0
228,228,FLAVOUR 500 GMS               ,810.0
229,229,FLEUR SATIN                   ,351.0
230,230,FRENCH FRIES                  ,35.0
231,231,FRENCH VINAIGRETTE SALAD BOWL ,90.81818181818181
232,232,FRIED MOZZARELLA              ,125.0
233,233,FRUIT FROM THE TROPICS        ,95.28125
234,234,GARDEN FRESH PANINI           ,105.3071948261924
235,235,GHANA HOT CHOCOLATE           ,150.0
236,236,GIN (SM)                      ,200.0
237,237,GINSENG PEACH TEA             ,65.0
238,238,GNOCCHI CON POMMODORO         ,150.0
239,239,GNOCCHI SUN-DRIED TOM SAUCE   ,250.0
240,240,GOA GIRLS SHOT GLASS          ,187.0
241,241,GOLD FLAKE KING BLUE          ,87.5
242,242,GOLD FLAKE KING RED           ,87.5
243,243,GOLD FLAKE KINGS-BIG          ,73.0
244,244,GOLD FLAKE LIGHTS-BIG         ,73.0
245,245,GOLD FLAKE ULTRA LIGHTS(20)   ,73.0
246,246,GOLDEN DELIGHT 1.1            ,351.0
247,247,GOOEY CHOCOLATE FUDGE         ,65.05128205128206
248,248,GOSSIPS CHARD AUS (BTL)       ,2100.0
249,249,GRAPE FLAVOUR SINGLE          ,232.70171149144255
250,250,GRAPPO SHEESHA                ,450.0
251,251,GREAT LAKES CREAM                   ,145.0
252,252,GREAT LAKES FLOAT W VANILLA         ,52.3758865248227
253,253,GREAT LAKES FLOATS W CHOC           ,51.36666666666667
254,254,GREAT LAKES FRAPPE                  ,110.0
255,255,GREAT LAKES HOOKAH SINGLE           ,295.0
256,256,GREAT LAKES MUG SINGLE              ,142.0
257,257,GREAT LAKES ORGANISER               ,240.0
258,258,GREAT LAKES SHAKE                   ,115.27589743589743
259,259,GREAT LAKES STAMP DAIRY             ,119.0
260,260,GREAT LAKES T-SHIRTS                ,345.7142857142857
261,261,GREAT LAKES-JAVA BLEND (AULAIT)     ,115.0
262,262,GREAT LAKES-JAVA BLEND (REG)        ,95.0
263,263,GREEK GYROS CRUSTINI          ,145.0
264,264,GREEN APPLE FLAVOUR SINGLE    ,232.1993670886076
265,265,GREEN TEA                     ,55.0
266,266,GRENADINE                     ,350.0
267,267,GRILLED CHICKEN SAUSAGES      ,37.903225806451616
268,268,GUATEMALA ANTIGUA (AULAIT)    ,145.0
269,269,GUATEMALA ANTIGUA (REG)       ,125.0
270,270,GUAVA                         ,350.0
271,271,GUERILLA COOL                 ,262.0
272,272,HASH BROWN OMELETTE           ,165.19011406844106
273,273,HAWAIIAN KONA FANCY (AU LAIT) ,185.0
274,274,HAWAIIAN KONA FANCY(REG)      ,165.0
275,275,HAZELNUT FONDUE               ,210.0
276,276,HERBED CHICKEN PIE            ,135.25423728813558
277,277,HERBED CHKN POTATOES & CARROTS,290.0
278,278,HERBED GARDEN PIE             ,115.07874015748031
279,279,HH COOL                       ,262.0
280,280,HOEGAARDEN (GLS)              ,243.1818181818182
281,281,HOEGAARDEN GLS (2+1)          ,700.0
282,282,HOEGAARDEN LTR MUGS (2+1)     ,1300.0
283,283,HOEGAARDEN MUG (1 LITRE)      ,616.6666666666666
284,284,HOEGAARDEN MUG (1/2 LITRE)    ,350.0
285,285,HONEY & MUSTARD GLAZED CHICKEN,153.75
286,286,HONEY MUSTARD CHICKEN         ,175.0
287,287,HONEY ROASTED PEANUT BUTTER CK,55.0
288,288,HONEYGLAZED CHICK & MUSTERD CR,140.0
289,289,HOTDOG WRAP                   ,150.0
290,290,HOUSE BLEND DE CAFFE (AU LAIT),135.0
291,291,HOUSE BLEND DECAFF (REG)      ,115.0
292,292,HOUSEBLEND FULLCITY (AU LAIT) ,115.0
293,293,HOUSEBLEND FULLCITY (REG)     ,95.0
294,294,ICE BERG SHEESHA              ,450.0
295,295,ICE BULL                      ,150.0
